"Artist","EndDate","Period"
"Doris Ulmann",1934,"Dada/Surrealism"
"Frank Lloyd Wright",1959,"Abstract Expressionism"
"Susan Rothenberg",2020,"Contemporary Art"
"Robert Ryman",2019,"Contemporary Art"
"August Sander",1964,"Pop Art/Minimalism"
"Arnold Genthe",1942,"Abstract Expressionism"
"Garry Winogrand",1984,"Postmodernism/Y2K Resurgence"
"George Brecht",2008,"Contemporary Art"
"Maurice de Vlaminck",1958,"Abstract Expressionism"
"Paul Delvaux",1994,"Postmodernism/Y2K Resurgence"
"Walter Jacob",1964,"Pop Art/Minimalism"
"Léo Marchutz",1976,"Pop Art/Minimalism"
"Jean Launois",1942,"Abstract Expressionism"
"Graham Sutherland",1980,"Postmodernism/Y2K Resurgence"
"Piero Dorazio",2005,"Contemporary Art"
"Ludwig Mies van der Rohe",1969,"Pop Art/Minimalism"
"Ellsworth Kelly",2015,"Contemporary Art"
"August Sander",1964,"Pop Art/Minimalism"
"Alfred Stieglitz",1946,"Abstract Expressionism"
"Arthur B. Davies",1928,"Dada/Surrealism"
"Edward Burne-Jones",1898,"Realism/Impressionism"
"Robert Colquhoun",1962,"Pop Art/Minimalism"
"Pablo Picasso",1973,"Pop Art/Minimalism"
"Pablo Picasso",1973,"Pop Art/Minimalism"
"Henry Moore",1986,"Postmodernism/Y2K Resurgence"
"Zoran Mušič",2005,"Contemporary Art"
"Joan Brown",1990,"Postmodernism/Y2K Resurgence"
"Lyonel Feininger",1956,"Abstract Expressionism"
"Ludwig Mies van der Rohe",1969,"Pop Art/Minimalism"
"Francisco de Goya",1828,"Romanticism"
"Max Beckmann",1950,"Abstract Expressionism"
"Ludwig Mies van der Rohe",1969,"Pop Art/Minimalism"
"David Octavius Hill",1870,"Realism/Impressionism"
"Yutaka Matsuzawa",2006,"Contemporary Art"
"Bram van Velde",1981,"Postmodernism/Y2K Resurgence"
"John Cage",1992,"Postmodernism/Y2K Resurgence"
"Robert Michel",1983,"Postmodernism/Y2K Resurgence"
"Carybé (Hector Bernabó)",1997,"Postmodernism/Y2K Resurgence"
"László Moholy-Nagy",1946,"Abstract Expressionism"
"Dorothea Lange",1965,"Pop Art/Minimalism"
"David Wojnarowicz",1992,"Postmodernism/Y2K Resurgence"
